,0
0.00538586295538,-0.122458292238
-0.719832653437,15.4505281441
3.15720012693,42.9902731722
15.704023762,70.6677664863
27.0008670372,94.041774146
33.8918868719,110.336371146
29.4530526748,128.8861875
19.6011123492,143.609575887
9.51323327786,156.369724313
-1.21267357214,169.904363838
-14.8393559494,182.176932859
-19.8935142035,196.116510496
-26.2377856421,211.161416247
-30.7011385804,222.890899996
-35.0174416923,232.732673573
-36.9403626953,244.202421198
-35.4791499763,257.111341808
-30.6776003937,267.487694939
-31.6484437463,271.237147856
-45.4317996998,283.194283436
-60.6928048346,290.290583775
-63.6033280309,319.69856332
-67.9526613747,337.766682648
-68.9327985654,347.101869677
-71.0097915041,355.401704328
-75.2406224977,356.762472836
-75.0130593122,355.124349514
-76.033517724,356.346339092
-76.3848545238,361.045946791
-80.513842952,370.163263657
-73.8780362943,377.921683543
-68.2087440658,384.812684765
-65.5897924278,388.187351372
-63.801776833,400.279223587
-60.6282432145,406.858054249
-66.0212244819,404.296088684
-63.5666529612,400.53917103
-70.1480967334,396.028576482
-71.7264881,390.459020935
-81.355240305,388.518530037
-82.7508824689,395.465352547
-78.5197415142,401.885273448
-75.9372265059,403.179615512
-62.9619478003,430.863794862
-56.1850328517,444.397890962
-56.4637082455,451.220877414
-58.3996621813,450.442090787
-56.4766252536,446.720940434
-65.029529067,448.795486318
-68.6383401052,452.193692201
-73.2016694058,450.862366217
-78.7278848241,452.043272026
-80.9267440231,451.655493287
-84.4176332716,447.148646125
-83.2173229867,443.729917369
-86.2279693685,433.455915789
-79.0113495088,428.11851
-71.9348206914,433.975700352
-69.784050581,431.737882972
-69.4890098056,427.908112762
-66.7842035944,427.545263109
-68.2917891228,431.696633016
-78.2175090908,435.796208871
-75.1636460718,457.820195526
-73.7070084491,474.476878218
-76.739956876,484.80563982
-69.0498984131,490.580590853
-56.9243702812,487.757927736
-58.5739268452,488.618802967
-55.4348777192,497.90714524
-53.6338759719,498.460540568
-59.3511227342,497.298490234
-59.502078187,493.713445031
-65.7616158073,485.02258452
-83.00564501,479.439264573
-82.5653489011,481.421873711
-73.3695847166,495.075415953
-66.2751296141,499.433337999
-66.2685349386,499.245339266
-64.9991797033,496.904809938
-65.8579417238,497.867263206
